Accipiter butleri,,Nicobar Sparrowhawk, Nicobar Shikra,,,,,,,,,,,,,,Gavilán de Nicobar,,,,,,,,,,,,,
Accipiter castanilius,,Chestnut-flanked Sparrowhawk,,,,,,,,,,Autour à flancs roux,,,,,,,,,,,,,,,,,,
Accipiter cirrocephalus,,Collared Sparrowhawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter collaris,,Semi-collared Hawk, Semi-collared Sparrowhawk, Semi-collared Hawk,,,,,,,,,,,,,Azer Semicollarejo, Gavilán Acollarado, Gavilancito Torcaz,,,,,,,,,,,
Accipiter cooperii,,Cooper's Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter erythrauchen,,Rufous-necked Sparrowhawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter erythropus,,Red-legged Sparrowhawk, Western Little Sparrowhawk,,,,,,,,,Epervier de Hartlaub,,,,,,,,,,,,,,,,,,
Accipiter fasciatus,,Brown Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter francesiae,,Frances's Sparrowhawk, Frances's Goshawk,,,,,,,,,Epervier de Frances,,,,,,,,,,,,,,,,,,
Accipiter gentilis,,Northern Goshawk, Eurasian Goshawk, Goshawk,,,,,,,,Autour des palombes,,,,,,,,,,,,,,,,,,
Accipiter griseiceps,,Sulawesi Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter gularis,,Japanese Sparrowhawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter gundlachi,,Gundlach's Hawk,,,,,,,,,,,,,,,Gavilán Cubano,,,,,,,,,,,,,
Accipiter haplochrous,,White-bellied Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter henicogrammus,,Moluccan Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter henstii,,Henst's Goshawk,,,,,,,,,,Autour de Henst,,,,,Azor Malgache,,,,,,,,,,,,,
Accipiter hiogaster,,Variable Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter imitator,,Imitator Goshawk, Imitator Goshawk,,,,,,,,,,,,,,Gavilán Imitador,,,,,,,,,,,,,
Accipiter luteoschistaceus,,Slaty-backed Goshawk, Slaty-mantled Goshawk, Slaty-backed Goshawk,,,,,,,,,,,,,Gavilán de Nueva Bretaña,,,,,,,,,,,,,
Accipiter madagascariensis,,Madagascar Sparrowhawk,,,,,,,,,,Épervier de Madagascar, Epervier de Madagascar,,,,Gavilán Malgache,,,,,,,,,,,,,
Accipiter melanochlamys,,Black-mantled Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter melanoleucus,,Black Sparrowhawk, Black Sparrowhawk,,,,,,,,,Autour noir,,,,,,,,,,,,,,,,,,
Accipiter meyerianus,,Meyer's Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter minullus,,Little Sparrowhawk,,,,,,,,,,Epervier minule,,,,,,,,,,,,,,,,,,
Accipiter nanus,,Dwarf Sparrowhawk, Dwarf Sparrowhawk,,,,,,,,,,,,,,Gavilancito de Célebes,,,,,,,,,,,,,
Accipiter nisus,,Eurasian Sparrowhawk, Sparrowhawk, European Sparrowhawk,,,,,,,,Epervier d'Europe,,,,,,,,,,,,,,,,,,
Accipiter novaehollandiae,,Grey Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter ovampensis,,Ovambo Sparrowhawk, Ovambo Sparrowhawk,,,,,,,,,Epervier de l'Ovampo,,,,,,,,,,,,,,,,,,
Accipiter poliocephalus,,Grey-headed Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter poliogaster,,Grey-bellied Goshawk, Grey-bellied Hawk, Grey-bellied Goshawk,,,,,,,,,,,,,Azor Pechigrís, Azor Ventigrís, Esparvero Pechigrís, Gavilán Vientrigris,,,,,,,,,,
Accipiter princeps,,New Britain Goshawk,,,,,,,,,,,,,,,Azor de Nueva Bretaña,,,,,,,,,,,,,
Accipiter rhodogaster,,Vinous-breasted Sparrowhawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter rufitorques,,Fiji Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter rufiventris,,Rufous-breasted Sparrowhawk, Red-breasted Sparrowhawk, Rufous-breasted Sparrowhawk,,,,,,,,Epervier menu,,,,,,,,,,,,,,,,,,
Accipiter soloensis,,Chinese Sparrowhawk, Chinese Sparrowhawk, Gray Frog-Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter striatus,,Sharp-shinned Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter superciliosus,,Tiny Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter sylvestris,,Lesser Sundas Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter tachiro,,African Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter toussenelii,,Red-chested Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter trinotatus,,Spot-tailed Goshawk, Spot-tailed Sparrowhawk,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter trivirgatus,,Crested Goshawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter virgatus,,Besra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerodon celebensis,,Sulawesi Fruit Bat, Sulawesi Flying Fox, Sulawesi Flying-fox, Sulawesi Acerodon,,,,,,,,,,,,Zorro Volador De Las Célebes,,,,,,,,,,,,,
Acerodon humilis,,Talaud Fruit Bat, Talaud Flying Fox, Talaud Flying-fox, Talaud Acerodon,,,,,,,,,,,,Zorro Volador De Talaud,,,,,,,,,,,,,
Acerodon jubatus,,Golden-capped Fruit Bat, Golden-crowned Flying Fox,,,,,,,,,,,,,,Zorro Volador Filipino,,,,,,,,,,,,,
Acerodon leucotis,,Palawan Fruit Bat, Palawan Flying Fox,,,,,,,,,,,,,,Zorro Volador De Calamian,,,,,,,,,,,,,
Acerodon mackloti,,Sunda Fruit Bat, Sunda Flying-fox, Sunda Flying Fox,,,,,,,,,,,,,Zorro Volador de Macklot,,,,,,,,,,,,,
Aceros nipalensis,,Rufous-necked Hornbill, Rufous-cheeked Hornbill,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achaetops pycnopygius,,Rockrunner, Damara Rock-jumper, Damara Rock Jumper,,,,,,,,Fauvette des Damaras,,,,,,,,,,,,,,,,,,
Acinonyx jubatus,,Cheetah, Hunting Leopard,,,,,,,,,Guépard,,,,,Chita, Guepardo,,,,,,,,,,,,
Acomys airensis,,Western Saharan Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys cahirinus,,Cairo Spiny Mouse, Greater Wilfred's Mouse, Northeast African Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys cilicicus,,Asia Minor Spiny Mouse, Turkish Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys cineraceus,,Gray Spiny Mouse, Grey Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys dimidiatus,,Arabian Spiny Mouse, Eastern Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys ignitus,,Fiery Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys johannis,,Johan's Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys kempi,,Kemp's Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys louisae,,Louise's Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys minous,,Crete Spiny Mouse, Spiny Mouse, Cretan Spiny Mouse,,,,,,,,Souris Épineuse De Crete,,,,,Ratón Espinoso De Creta,,,,,,,,,,,,,
Acomys mullah,,Mullah Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys nesiotes,,Cyprus Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys percivali,,Percival's Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys russatus,,Golden Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys seurati,,Seurat's Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys spinosissimus,,Spiny Mouse, Southern African Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys subspinosus,,Cape Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys wilsoni,,Wilson's Spiny Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconaemys fuscus,,Chilean Rock Rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconaemys porteri,,Porter's Rock Rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconaemys sagei,,Sage's Rock Rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acridotheres albocinctus,,Collared Myna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acridotheres cinereus,,Pale-bellied Myna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acridotheres cristatellus,,Crested Myna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acridotheres fuscus,,Jungle Myna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acridotheres ginginianus,,Bank Myna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acridotheres grandis,,White-vented Myna, Great Myna,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acridotheres tristis,,Common Myna,,,,,,,,,,Martin triste,,,,,,,,,,,,,,,,,,
Acrobates pygmaeus,,Feathertail Glider, Feather-tailed Glider, Pygmy Gliding Possum,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrobatornis fonsecai,,Pink-legged Graveteiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus aedon,,Thick-billed Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus aequinoctialis,,Kiritimati Reed-warbler, Bokikokiko,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus agricola,,Paddyfield Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus arundinaceus,,Great Reed-warbler, Great Reed-Warbler, Great Reed Warbler,,,,,,,,Rousserolle turdoïde,,,,,,,,,,,,,,,,,,
Acrocephalus atyphus,,Tuamotu Reed-warbler, Tuamotu Reed Warbler, Tuamotu Reed-Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus australis,,Australian Reed-warbler, Australian Reed Warbler, Australian Reed-Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus bistrigiceps,,Black-browed Reed-warbler, Black-browed Reed Warbler, Black-browed Reed-Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus brevipennis,,Cape Verde Warbler, Cape Verde Swamp-Warbler, Cape Verde Islands Cane Warbler, Cape Verde Cane Warbler,,,,,,,Rousserolle des Iles du Cap-Vert,,,,,,,,,,,,,,,,,,
Acrocephalus caffer,,Tahiti Reed-warbler, Tahiti Reed Warbler, Tahiti Reed-Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus concinens,,Blunt-winged Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus dumetorum,,Blyth's Reed-warbler, Blyth's Reed Warbler, Blyth's Reed-Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,
