id,virus,host
246,TBEV,monkey
247,WNV,house sparrow
248,WNV,Passer domesticus
249,Tembusu virus,Chicken
250,WNV,Procyon lotor
251,tick  borne encephalitis virus,cow
252,TBE,human
253,Kyasanur forest disease virus,Rattus rattus
254,TBEV,Microtus arvalis
255, CPE ,green monkey
256,USUV,green monkey
257,WNV,green monkey
258,Usutu virus,Pyrrhula pyrrhula
259,Usutu virus,great spotted woodpecker
260,West Nile virus,horse
261,West Nile virus,Chicken
262,USUTU virus,horse
263,USUTU virus,Chicken
264,WNV,Great Kiskadee
265,WNV,American Kestrel
266,WNV,Falco sparverius
267,WNV,House Sparrow
268,WNV,Rufous Hornero
269,West Nile virus,human
270,TBEV,M arvalis
271,TBEV,Microtus agrestis
272,TBEV,Apodemus agrarius
273,TBEV,Apodemus
274,TBEV,Myodes glareolus
275,TBEV,Apodemus flavicollis
276,WNV,Cygnus olor
277,WNV,Ciconia ciconia
278,WNV,Corvus corone cornix
279,WNV,mute swan
280,Zika,rhesus monkey
281,TBEV,Apodemus agrarius
282,TBEV,Apodemus agrarius
283,ALKV,sheep
284,KFDV,sheep
285,TBE,human
286,WNV,Crowned Eagle
287,Kyasanur forest disease virus,Suncus murinus
288,West Nile virus,Accipiter gentilis
289,West Nile virus,Bubo virginianus
290,WNV,human
291,West Nile,Agelaius phoeniceus
292,Japanese encephalitis,Agelaius phoeniceus
293,NSW,Horse
294,West Nile,Horse
295,WEE,human
296,WEE,cattle
297,WEE,horse
298,EEE virus,human
299,EEE virus,cattle
300,EEE virus,horse
301,USUV,common kestrel
302,WNV,common kestrel
303,USUV,great spotted woodpecker
304,TBEV,Turdus pilaris
305,USUTU VIRUS,blackbird
306,USUTU VIRUS,blackbird
307,tick  borne encephalitis,sheep
308,TBE,human
309,TBE,human
310,JEV,human
311,TBE,human
312,TMUV,duck
313,BAGV,red  legged partridge
314,BAGV,common pheasant
315,West Nile Virus,human
316,WNV,Rufous Hornero
317,dengue,monkeys
318,JEV,monkeys
319,DENV,monkeys
320,LIV,goat
321,LIV,sheep
322,BAHV,Oenanthe oenanthe
323,DENV,monkey
324,Zika virus,mice
325,Zika virus,mouse
326,SINV,human
327,TBEV,Troglodytes troglodytes
328,TBEV,T pilaris
329,TBEV,Accipiter gentilis
330,TBEV,Turdus pallidus
331,TBEV,T iliacus
332,TBEV,Lanius cristatus
333,TBEV,Emberiza fucata
334,TBE virus,A speciosus
335,TBE,human
336,KFD,human
337,Yellow fever,mantled howler
338,Yellow fever,monkeys
339,Yellow fever,monkeys
340,USUV,Turdus merula
341,TBEV,pig
342,TBEV,reed warbler
343,TBEV,fieldfare
344,TBEV,Acrocephalus dumetorum
345,Tick  borne encephalitis,goat
346, SLE ,Orcinus orca
347, SLE ,killer whale
348, SLE ,killer whale
349,EEE,cattle
350,EEE,chicken
351,EEE,Glaucidium brasilianum
352,Pixuna,cattle
353,Pixuna,chicken
354,Pixuna,Glaucidium brasilianum
355,Una,cattle
356,Una,chicken
357,Una,Glaucidium brasilianum
358,USUV,blackbird
359,USUV,magpie
360,dengue,Human
361,WNV,African arvicanthis
362,WNV,common dasymys
363,WNV,Dasymys incomtus
364,WNV,rusty  bellied brush  furred rat
365,WNV,Thallomys nigricauda
366,Sindbis,human
367,ZIKV,human
368,West Nile virus,Crocidura zaphiri
369,West Nile virus,Greater white  toothed shrew
370,West Nile virus,Papio anubis
371,West Nile virus,olive baboon
372,West Nile virus,Asian house shrew
373,West Nile virus,Suncus murinus
374,West Nile virus,Crocidura russula
375,West Nile virus,yellow baboon
376,West Nile virus,African giant shrew
377,West Nile virus,Papio cynocephalus
378,Usutu virus,human
379,tick  borne encephalitis,sheep
380,SPOV,human
381,WNV,Crowned Eagle
382,Kadam virus,human
383,Royal farm virus,human
384,TBE,human
385,SLEV,human
386,TBE,Apodemus
387,TBE,human
388,TBE,Apodemus
389,TBE,human
390,TBE virus,Apodemus
391,TBE virus,human
392,TBEV,M arvalis
393,TBEV,A agrarius
394,TBEV,M glareolus
395,JEV,swine
396,West Nile,human
397,Murray Valley encephalitis,human
398, MVE ,human
399,SLE virus,human
400,WN virus,human
401,Japanese encephalitis,human
402,West Nile,human
403,FCS,mice
404,FCS,mice
405,Pasteurella,Cynomys mexicanus
406,WNV,Corvus corone cornix
407,WNV,European Starling
408,WNV,Sturnus vulgaris
409,WNV,Eurasian Blackbird
410,WNV,Magpie
411,WNV,Turdus merula
412,WNV,Eurasian Jay
413,WNV,Garrulus glandarius
414,WNV,Carrion Crow
415,WNV,Pica pica
416,USUV,Corvus corone cornix
417,USUV,European Starling
418,USUV,Sturnus vulgaris
419,USUV,Eurasian Blackbird
420,USUV,Magpie
421,USUV,Turdus merula
422,USUV,Eurasian Jay
423,USUV,Garrulus glandarius
424,USUV,Carrion Crow
425,USUV,Pica pica
426,WNV,Corvus corone cornix
427,WNV,European Starling
428,WNV,Sturnus vulgaris
429,WNV,Eurasian Blackbird
430,WNV,Magpie
431,WNV,Turdus merula
432,WNV,Eurasian Jay
433,WNV,Garrulus glandarius
434,WNV,Carrion Crow
435,WNV,Pica pica
436,USUV,Corvus corone cornix
437,USUV,European Starling
438,USUV,Sturnus vulgaris
439,USUV,Eurasian Blackbird
440,USUV,Magpie
441,USUV,Turdus merula
442,USUV,Eurasian Jay
443,USUV,Garrulus glandarius
444,USUV,Carrion Crow
445,USUV,Pica pica
446,KOU,Human
447,TMB,horse
448,TBEV,red deer
449,WNV,magpie
450,WEEV,mouse
451,SLEV,mouse
452,TBEV,rabbit
453,WNV,House Sparrow
454,WNV,Passer domesticus
455,WNV,Hemignathus virens
456,WNV,House Finch
457,WNV,Carpodacus mexicanus
458,SLEV,House Sparrow
459,SLEV,Passer domesticus
460,SLEV,Hemignathus virens
461,SLEV,House Finch
462,SLEV,Carpodacus mexicanus
463,DENV,human
464,TBE,cattle
