id,virus,host,probability_positive
148,TBEV,M arvalis,0.9035593820000001
149,USUV,common kestrel,0.989716913
150,WNV,common kestrel,0.9973885570000001
151,WNV,common kestrel,0.9966426209999999
152,USUTU,chicken,0.5
153,USUTU,chicken,0.5
154,TBEV,chicken,0.9102092140000001
155,WNV,chicken,0.9102092140000001
156,TBEV,Microtus arvalis,0.7697305259999999
157,WNV,osprey,0.811348455
158,WNV,Pandion haliaetus,0.811348455
159,SLEV,Mimus polyglottos,0.811348455
160,SLEV,Northern mockingbird,0.811348455
161, SLE ,Orcinus orca,0.978352628
162, SLE ,killer whale,0.978352628
163, SLE ,killer whale,0.7737268959999999
164,tick  borne encephalitis virus,human,0.7697305259999999
165,Tembusu virus,chicken,0.9723201490000001
166,KFDV,monkey,0.991338518
167,TBEV,mice,0.8246699590000001
168,TBEV,mice,0.6417875279999999
169,TBEV,M musculus,0.918637574
170,FITC,goat,0.97172553
171,FITC,Spotted flycatcher,0.7698757970000001
172,FITC,Saxicola rubetra,0.7698757970000001
173,FITC,rabbit,0.9914590209999999
174,FITC,Whinchat,0.7698757970000001
175,FITC,rabbit,0.97172553
176,WNV,goat,0.811348455
177,WNV,Spotted flycatcher,0.7697305259999999
178,WNV,Saxicola rubetra,0.7697305259999999
179,WNV,rabbit,0.733737337
180,WNV,Whinchat,0.7697305259999999
181,WNV,rabbit,0.922188745
182,TBEV,sheep,0.21137518
183,TBEV,sheep,0.21137518
184,TBEV,goat,0.21137518
185,TBEV,sheep,0.21137518
186,TBEV,sheep,0.21137518
187,TBEV,goat,0.21137518
188, SSE ,sheep,0.811348455
189, SSE ,sheep,0.7697305259999999
190, SSE ,goat,0.811348455
191, CEEV ,sheep,0.7697305259999999
192, CEEV ,sheep,0.7697305259999999
193, CEEV ,goat,0.7697305259999999
194,CEEV,sheep,0.21137518
195,CEEV,sheep,0.21137518
196,CEEV,goat,0.21137518
197, TSE ,sheep,0.7697305259999999
198, TSE ,sheep,0.7697305259999999
199, TSE ,goat,0.811348455
200,louping ill virus,sheep,0.7697305259999999
201,louping ill virus,sheep,0.7697305259999999
202,louping ill virus,goat,0.7697305259999999
203,TBEV,sheep,0.7697305259999999
204,TBEV,sheep,0.7697305259999999
205,TBEV,goat,0.7697305259999999
206, TBEV ,sheep,0.21137518
207, TBEV ,sheep,0.21137518
208, TBEV ,goat,0.21137518
209,tick  borne encephalitis,sheep,0.21137518
210,tick  borne encephalitis,sheep,0.21137518
211,tick  borne encephalitis,goat,0.21137518
212,JEV,Java Sparrow,0.811348455
213,JEV,Spotted Dove,0.811348455
214,JEV,Spotted Dove,0.811348455
215,SLEV,Java Sparrow,0.811348455
216,SLEV,Spotted Dove,0.811348455
217,SLEV,Spotted Dove,0.811348455
218,DENV,monkey,0.971334661
219,DENV,Papio papio,0.971334661
220,DENV,Guinea baboon,0.971334661
221,DENV,green monkey,0.971334661
222,DENV,Chlorocebus sabaeus,0.971334661
